IR,conf,kulc,lhs,lift,rhs,sup_lhs
0.4,0.875,0.6875,['积存垃圾渣土'],3.5625,['城市管理'],0.140350877
0.4,0.875,0.6875,['工业红线内噪声'],3.5625,['城市管理'],0.140350877
0.5,1,0.75,['公共交通管理'],4.071428571,['城市管理'],0.122807018
